ec_code,ec_description
57341300,Cereal (Kellogg's Smorz)
57344001,Cereal (Kellogg's Special K Blueberry)
57344005,Cereal (Kellogg's Special K Chocolatey Delight)
57344025,Cereal (Kellogg's Special K Cinnamon Pecan)
57344015,Cereal (Kellogg's Special K Fruit & Yogurt)
57344010,Cereal (Kellogg's Special K Red Berries)
57344020,Cereal (Kellogg's Special K Vanilla Almond)
57344000,Cereal (Kellogg's Special K)
57305160,Cereal (Malt-O-Meal Blueberry Muffin Tops)
57305165,Cereal (Malt-O-Meal Cinnamon Toasters)
57305170,Cereal (Malt-O-Meal Coco-Roos)
57305175,Cereal (Malt-O-Meal Cocoa Dyno-Bites)
57305174,"Cereal (Malt-O-Meal Colossal Crunch), Malt-O-Meal Berry Colossal Crunch"
57305180,Cereal (Malt-O-Meal Corn Bursts)
57305210,Cereal (Malt-O-Meal Frosted Flakes)
57305300,Cereal (Malt-O-Meal Fruity Dyno-Bites)
57306500,Cereal (Malt-O-Meal Golden Puffs)
57305400,Cereal (Malt-O-Meal Honey Graham Squares)
57305500,Cereal (Malt-O-Meal Honey Nut Toasty O's)
57305600,Cereal (Malt-O-Meal Marshmallow Mateys)
57306700,Cereal (Malt-O-Meal Toasted Oat Cereal)
57306800,Cereal (Malt-O-Meal Tootie Fruities)
57309100,"Cereal (Nature Valley Granola), with fruit and nuts, low fat"
57321900,"Cereal (Nature's Path Organic Flax Plus), Nature's Path Organic Flax Granola, all flavors"
57103000,"Cereal (Post Alpha-Bits), Alpha-Bits with marshmallow"
57209000,Cereal (Post Bran Flakes)
57127000,Cereal (Post Cocoa Pebbles)
57223000,Cereal (Post Fruity Pebbles)
57355000,Cereal (Post Golden Crisp)
57230000,Cereal (Post Grape-Nuts)
57106050,Cereal (Post Great Grains Banana Nut Crunch)
57231200,"Cereal (Post Great Grains Raisins, Dates, and Pecans)"
57143500,"Cereal (Post Great Grains, Cranberry Almond Crunch)"
57237100,"Cereal (Post Honey Bunches of Oats Honey Roasted), Honey Bunches of Oats with Real Strawberries, Honey Bunches of Oats with Cinnamon Bunches, Honey Bunches of Oats with Chocolate Bunches, Honey Bunches of Oats with Real Peaches"
57237300,Cereal (Post Honey Bunches of Oats with Almonds)
57237200,"Cereal (Post Honey Bunches of Oats with Vanilla Bunches), with multi-grain flakes, vanilla clusters"
57238000,"Cereal (Post Honeycomb), strawberry Honeycomb"
57331000,Cereal (Post Raisin Bran)
57241200,Cereal (Post Shredded Wheat Honey Nut)
57417000,"Cereal (Post Shredded Wheat), spoon size shredded wheat"
57119000,Cereal (Quaker Cap'n Crunch's Crunchberries)
57120000,Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch)
57117000,Cereal (Quaker Cap'n Crunch)
57117500,Cereal (Quaker Christmas Crunch)
57320500,"Cereal (Quaker Granola with Oats, Honey, and Raisins), Quaker 100% natural cereal, almonds, lowfat, Sun Country"
57316710,Cereal (Quaker Honey Graham Oh's)
57304100,"Cereal (Quaker Life), plain, cinnamon"
57327500,Cereal (Quaker Oatmeal Squares)
57327450,"Cereal (Quaker Toasted Oat Bran), Quaker Honey Nut Heaven"
57408100,Cereal (Uncle Sam)
53801000,"Cereal bar with fruit filling, baby food, all flavors, Gerber Graduates Fruit & Cereal Bar, all flavors"
92203110,"Cereal beverage with beet roots, from powdered instant, Cafix"
92203000,"Cereal beverage, Pero"
53710400,"Cereal or granola bar (General Mills Fiber One Chewy Bar), all flavors"
53710900,"Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix), all flavors"
53710906,"Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar), all flavors, Nature Valley Granola Bar, NFS"
53710904,"Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar), all flavors"
53710800,"Cereal or granola bar (Kashi Chewy), chocolate coated, all flavors, GOLEAN, TLC"
53710802,"Cereal or granola bar (Kashi Crunchy), all flavors, GOLEAN, TLC"
53710500,"Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar), all flavors"
53710504,"Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar), all flavors"
53710502,"Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar), all flavors"
53710700,"Cereal or granola bar (Kellogg's Special K bar), all flavors"
53710810,"Cereal or granola bar (KIND Fruit and Nut Bar), all flavors"
53711004,"Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar), all flavors, Quaker Chewy Reduced Sugar Granola Bar"
53711002,"Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar), all flavors, Quaker Lowfat Chewy Granola Bars"
53711006,"Cereal or granola bar (Quaker Chewy Dipps Granola Bar), all flavors"
53711000,"Cereal or granola bar (Quaker Chewy Granola Bar), all flavors, Quaker Oats bar, NFS"
53711100,Cereal or granola bar (Quaker Granola Bites)
53714220,"Cereal or granola bar with nuts, chocolate coated, Kudos Crunchy Nut Snack"
53714200,"Cereal or granola bar, chocolate coated, NFS, Kudos Granola Bars, all flavors, Nestle Sweet Success Bar"
53714250,"Cereal or granola bar, coated with non-chocolate coating, all flavors, Quaker Oats Peanut Butter Whipps, Jenny's Cuisine Fruit and Nut Snack Bar"
53713010,"Cereal or granola bar, fruit and nut"
53714300,"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating, lemon Fi-bar, raspberry Fi-bar, Ultra Slim Fast Vanilla Almond Crunch Snack Bar"
53712200,"Cereal or granola bar, lowfat, NFS, all flavors, with oats, fruit and nuts, lowfat, Sunbelt Lowfat Chewy Granola Bar"
53712100,"Cereal or Granola bar, NFS, with chocolate chips, New Trail Granola Bars, with oats, sugar, raisins, coconut, Sunbelt Granola Bar, all flavors"
53712210,"Cereal or granola bar, nonfat, all fruit and nut flavors, Health Valley Fat-Free Granola Bars"
53714230,"Cereal or granola bar, oats, nuts, coated with non-chocolate coating, all flavors"
53713100,"Cereal or granola bar, peanuts , oats, sugar, wheat germ"
53713000,"Cereal or granola bar, reduced sugar, NFS, all flavors"
53714210,"Cereal or granola bar, with coconut, chocolate coated, Little Debbie Macaroo Fudge Dipped Chewy Granola Bar, Sunbelt Fudge Dipped Chewy Granola Bar, all flavors"
53714400,"Cereal or granola bar, with rice cereal, Kellogg's Rice Krispies Bar"
53710902,"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar), all flavors"
57820000,"Cereal, baby food, jarred, NFS"
57207000,"Cereal, bran flakes, store brands, NFS"
57124200,"Cereal, chocolate flavored, frosted, puffed corn, store brands, Cocoa Comets"
56200300,"Cereal, cooked, NFS"
57134000,"Cereal, corn flakes, store brands, NFS"
57137000,"Cereal, corn puffs"
57151000,"Cereal, crispy rice, Nature's Path, store brands"
57348000,"Cereal, frosted corn flakes, store brands, NFS"
57305150,"Cereal, frosted oat cereal with marshmallows, Magic Stars, store brands"
57216000,"Cereal, frosted rice, store brands, NFS"
57221700,"Cereal, fruit rings, store brands, Frosted Fruit Rings, NFS"
57227000,"Cereal, granola"
57227000,"Cereal, granola, store brands, NFS"
57308190,"Cereal, muesli, with fruits and nuts, mueslix"
56210000,"Cereal, nestum"
57000100,"Cereal, oat, NFS"
57340000,"Cereal, puffed rice, all brands"
57416000,"Cereal, puffed wheat, plain, all brands"
57416010,"Cereal, puffed wheat, sweetened, store brands"
57329000,"Cereal, raisin bran, store brands, NFS"
57100100,"Cereal, ready-to-eat, NFS, NS as to cooked or ready-to-eat"
57337000,"Cereal, rice flakes, store brands, NFS"
57401100,"Cereal, toasted oat, Tasteeos, store brands"
8657,"Cereals ready-to-eat, BARBARA'S PUFFINS, original"
8204,"Cereals ready-to-eat, chocolate-flavored frosted puffed corn"
42236,"Cereals ready-to-eat, frosted oat cereal with marshmallows"
8579,"Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRUNCH"
8263,"Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS"
8239,"Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berry"
8013,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS"
8592,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut"
8593,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate"
8594,"Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX"
8513,"Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS"
8595,"Cereals ready-to-eat, GENERAL MILLS, Cinnamon CHEX"
8272,"Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH"
8271,"Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS"
8017,"Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP"
8019,"Cereals ready-to-eat, GENERAL MILLS, Corn CHEX"
8270,"Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA"
8244,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal"
8598,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, HONEY CLUSTERS"
8599,"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, RAISIN BRAN CLUSTERS"
8268,"Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY"
8267,"Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS"
8583,"Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS"
8035,"Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS"
8643,"Cereals ready-to-eat, GENERAL MILLS, Honey KIX"
8045,"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS"
8057,"Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX"
8243,"Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS"
8048,"Cereals ready-to-eat, GENERAL MILLS, KIX"
8050,"Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS"
8087,"Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS"
8637,"Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch"
8202,"Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Crunchy Almond"
8261,"Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN"
8194,"Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS"
8064,"Cereals ready-to-eat, GENERAL MILLS, Rice CHEX"
8078,"Cereals ready-to-eat, GENERAL MILLS, TRIX"
8082,"Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX"
8089,"Cereals ready-to-eat, GENERAL MILLS, WHEATIES"
8037,"Cereals ready-to-eat, granola, homemade"
8388,"Cereals ready-to-eat, KASHI 7 Whole Grain Puffs"
8560,"Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax"
8393,"Cereals ready-to-eat, KASHI GOLEAN"
8386,"Cereals ready-to-eat, KASHI GOLEAN CRUNCH!"
8387,"Cereals ready-to-eat, KASHI HEART TO HEART, Honey Toasted Oat"
8462,"Cereals ready-to-eat, KASHI, ORGANIC PROMISE Autumn Wheat"
8028,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes"
8001,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original"
8003,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS"
8014,"Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES"
8020,"Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes"
8068,"Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS"
8023,"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN"
8259,"Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX"
8030,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS"
8069,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES"
8032,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES"
8071,"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS"
8376,"Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS"
8286,"Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX"
8060,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN"
8065,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES"
8288,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Cereal"
8318,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Strong Heart Antioxidants Cereal"
8067,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K"
8603,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Blueberry"
8383,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Red Berries"
8602,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan"
8380,"Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAISIN BRAN CRUNCH"
8531,"Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit & Yogurt"
8031,"Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, Big Bite"
8584,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight"
8543,"Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond"
8494,"Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS"
8206,"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS"
8495,"Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES"
8346,"Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH"
8083,"Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS"
8409,"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes"
8500,"Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS"
8501,"Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES"
8138,"Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS"
8484,"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal"
8349,"Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES"
8656,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes"
8571,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola"
8029,"Cereals ready-to-eat, POST Bran Flakes"
42297,"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch"
8544,"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch"
8061,"Cereals ready-to-eat, POST Raisin Bran Cereal"
8002,"Cereals ready-to-eat, POST, ALPHA-BITS"
8015,"Cereals ready-to-eat, POST, COCOA PEBBLES"
8034,"Cereals ready-to-eat, POST, FRUITY PEBBLES"
8073,"Cereals ready-to-eat, POST, GOLDEN CRISP"
8038,"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal"
8039,"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes"
42265,"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan"
8633,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches"
43570,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted"
42240,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds"
8081,"Cereals ready-to-eat, POST, Honey Nut Shredded Wheat"
8046,"Cereals ready-to-eat, POST, Honeycomb Cereal"
8147,"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit"
8148,"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size"
8054,"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey"
8010,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH"
8011,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES"
8012,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH"
8550,"Cereals ready-to-eat, QUAKER, Christmas Crunch"
8211,"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S"
8220,"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins"
8214,"Cereals ready-to-eat, QUAKER, Oatmeal Squares"
8218,"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins"
8049,"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain"
8066,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice"
8146,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat"
8216,"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps"
8025,"Cereals ready-to-eat, RALSTON CRISP RICE"
8074,"Cereals ready-to-eat, RALSTON TASTEEOS"
8435,"Cereals ready-to-eat, UNCLE SAM CEREAL"
8084,"Cereals ready-to-eat, wheat germ, toasted, plain"
8090,"Cereals, corn grits, white, regular and quick, enriched, dry"
8100,"Cereals, CREAM OF RICE, dry"
8106,"Cereals, CREAM OF WHEAT, instant, dry"
8102,"Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry"
8680,"Cereals, oats, instant, fortified, maple and brown sugar, dry"
8122,"Cereals, oats, instant, fortified, plain, dry"
8120,"Cereals, oats, regular and quick, not fortified, dry"
8092,"Cereals, QUAKER, corn grits, instant, plain, dry"
8200,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry"
8144,"Cereals, whole wheat hot natural cereal, dry"
27151030,"Ceviche, Marinated fish or sea food"
93301275,"Champagne punch, champagne fruit punch"
72125500,"Channa Saag, Chana Shaag or Sagh, spinach and chickpeas, Indian"
72104220,"Chard, cooked, with or without fat"
72104100,"Chard, raw"
11147,"Chard, swiss, raw"
11149,"Chayote, fruit, raw"
14710100,"Cheddar cheese soup, home recipe, canned or ready-to-serve"
14610520,"Cheese ball, cheese with nuts"
14620150,"Cheese dip with chili pepper, chili con queso, jalapeno cheddar, salsa con queso"
14620200,"Cheese dip, cheese other than blue or cream cheese"
58306070,"Cheese enchilada, frozen meal, Old El Paso Cheese Enchiladas with Sauce"
54401081,"Cheese flavored corn snacks (Cheetos), Cheetos, puffs, Cheetos, crunchy, Cheetos Mix-Ups"
54401055,"Cheese flavored corn snacks, corn-cheese puffs, curls, or twists, all flavors, Cheez Doodles, puffed corn, corn puffs, NFS"
54401065,"Cheese flavored corn snacks, reduced fat, all flavors, baked, low fat corn cheese puffs, curls, or twists, reduced fat, light, Cheetos Oven Baked, Cheetos Puff Reduced Fat, Pirate's Booty, Smartfood, puffed corn"
14630100,Cheese fondue
53452450,"Cheese pastry puffs, cheese straws"
1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D"
1252,"Cheese product, pasteurized process, American, vitamin D fortified"
19434,"Cheese puffs and twists, corn based, baked, low fat"
58125180,"Cheese quiche, meatless"
14640004,"Cheese sandwich, American cheese, on wheat bread, no spread"
14640052,"Cheese sandwich, American cheese, on wheat bread, with butter, with margarine"
14640028,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise, with Miracle Whip"
14640002,"Cheese sandwich, American cheese, on white bread, no spread, other bread such as potato, Italian, and rye, bread, NFS"
14640050,"Cheese sandwich, American cheese, on white bread, with butter, other bread such as potato, Italian, and rye, bread, NFS, with margarine"
14640026,"Cheese sandwich, American cheese, on white bread, with mayonnaise, other bread such as potato, Italian, and rye, bread, NFS, with Miracle Whip"
14640006,"Cheese sandwich, American cheese, on whole wheat bread, no spread, whole grain bread, multigrain bread"
14640054,"Cheese sandwich, American cheese, on whole wheat bread, with butter, whole grain bread, with margarine, multigrain bread"
14640030,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise, whole grain bread, with Miracle Whip, multigrain bread"
14640010,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread, other cheese such as Swiss, mozzarella, provolone"
14640058,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter, with margarine, other cheese such as Swiss, mozzarella, provolone"
14640034,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise, with Miracle Whip, other cheese such as Swiss, mozzarella, provolone"
14640008,"Cheese sandwich, Cheddar cheese, on white bread, no spread, other bread such as potato, Italian, and rye, bread, NFS, other cheese such as Swiss, mozzarella, provolone"
14640056,"Cheese sandwich, Cheddar cheese, on white bread, with butter, other bread such as potato, Italian, and rye, bread, NFS, with margarine, other cheese such as Swiss, mozzarella, provolone"
14640032,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise, other bread such as potato, Italian, and rye, bread, NFS, with Miracle Whip, other cheese such as Swiss, mozzarella, provolone"
14640012,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread, whole grain bread, multigrain bread, other cheese such as Swiss, mozzarella, provolone"
14640060,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter, whole grain bread, with margarine, multigrain bread, other cheese such as Swiss, mozzarella, provolone"
14640036,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise, whole grain bread, with Miracle Whip, multigrain bread, other cheese such as Swiss, mozzarella, provolone"
14640000,"Cheese sandwich, NFS"
14640016,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread, low fat, part skim, or cheese made with 2% milk"
14640064,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter, with margarine, low fat, part skim, or cheese made with 2% milk"
14640014,"Cheese sandwich, reduced fat American cheese, on white bread, no spread, other bread such as potato, Italian, and rye, bread, NFS, low fat, part skim, or cheese made with 2% milk"
14640062,"Cheese sandwich, reduced fat American cheese, on white bread, with butter, other bread such as potato, Italian, and rye, bread, NFS, with margarine, low fat, part skim, or cheese made with 2% milk"
14640038,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise, other bread such as potato, Italian, and rye, bread, NFS, with Miracle Whip, low fat, part skim, or cheese made with 2% milk"
14640018,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread, whole grain bread, low fat, part skim, or cheese made with 2% milk, multigrain bread"
14640066,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter, lowfat, part skim, or cheese made with 2% milk, whole grain bread, with margarine, multigrain bread"
14640042,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise, whole grain bread, with Miracle Whip, low fat, part skim, or cheese made with 2% milk, multigrain bread"
14640040,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise, with Miracle Whip, low fat, part skim, or cheese made with 2% milk"
14640022,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread, low fat, part skim, or cheese made with 2% milk"
14640070,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter, with margarine, low fat, part skim, or cheese made with 2% milk"
14640046,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise, with Miracle Whip, low fat, part skim, or cheese made with 2% milk"
14640020,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread, other bread such as potato, Italian, and rye, bread, NFS, low fat, part skim, or cheese made with 2% milk"
14640068,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter, other bread such as potato, Italian, and rye, bread, NFS, with margarine, low fat, part skim, or cheese made with 2% milk"
14640044,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise, other bread such as potato, Italian, and rye, bread, NFS, with Miracle Whip, low fat, part skim, or cheese made with 2% milk"
14640024,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread, lowfat, part skim, or cheese made with 2% milk, whole grain bread, multigrain bread"
14640072,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter, whole grain bread, with margarine, low fat, part skim, or cheese made with 2% milk, multigrain bread"
14640048,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise, whole grain bread, with Miracle Whip, low fat, part skim, or cheese made with 2% milk, multigrain bread"
89901020,"Cheese sauce, for use with vegetables"
1164,"Cheese sauce, prepared from recipe"
14630200,Cheese souffle
1259,"Cheese spread, American or Cheddar cheese base, reduced fat"
14410330,"Cheese spread, American or Cheddar cheese base, reduced fat, Velveeta 2% milk or light, Laughing Cow Spreadable Cheese Wedges & Bites, lowfat, part skim, made with 2% milk"
14420100,"Cheese spread, American or Cheddar cheese base, Velveeta, Cheez Whiz (all flavors), cheese spread, NFS, Kraft Cheese Spreads, Kraft Bacon Cheese Spread, Original Laughing Cow Cheese Wedges & Bites"
43276,"Cheese spread, cream cheese base"
14420210,"Cheese spread, cream cheese, light, vegetable, chives & onion, salmon"
14420200,"Cheese spread, cream cheese, regular, olive, pimiento, onion, clam, roka, relish, Rondele Cheese Spread, smoked salmon, fruit flavors"
1048,"Cheese spread, pasteurized process, American"
14420300,"Cheese spread, pressurized can, Easy Cheese"
14420160,"Cheese spread, Swiss cheese base, Swiss Almond cold pack cheese food"
58116310,"Cheese turnover, Puerto Rican style, Pastelillo de queso, Empanadilla"
14410620,"Cheese,  with wine"
14410110,"Cheese, American"
14410100,"Cheese, American and Swiss blends"
14410120,"Cheese, American, reduced fat, lowfat, part skim, made from 2% milk"
14410210,"Cheese, American, reduced sodium, less or lower sodium products"
1004,"Cheese, blue"
14101010,"Cheese, Blue or Roquefort, Gorgonzola, Stilton"
1005,"Cheese, brick"
14102010,"Cheese, Brick, Beer, Elbinger, Zweizeitige, Wilstermarsch, Bondost, Oka, Havarti, Tilsit"
1006,"Cheese, brie"
14103020,"Cheese, Brie"
1007,"Cheese, camembert"
14103010,"Cheese, Camembert"
1009,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)"
14104100,"Cheese, Cheddar, Coon, sharp cheese, Tillamook, Hoop, Pioneer, New York, Wisconsin, Longhorn"
1265,"Cheese, cheddar, nonfat or fat free"
14104115,"Cheese, Cheddar, nonfat or fat free, Kraft nonfat natural cheese"
1260,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)"
14104110,"Cheese, Cheddar, reduced fat, lowfat, part skim, made from 2% milk, Kraft natural reduced fat cheese, Weight Watchers reduced fat cheddar cheese, Colby/Colby Jack, reduced fat"
14110010,"Cheese, Cheddar, reduced sodium, less or lower sodium products, Colby, reduced sodium"
1011,"Cheese, colby"
14104200,"Cheese, Colby"
14104250,"Cheese, Colby Jack"
14610210,"Cheese, cottage cheese, with gelatin dessert and fruit, Jell-O"
14610250,"Cheese, cottage cheese, with gelatin dessert and vegetables, Jell-O"
14610200,"Cheese, cottage cheese, with gelatin dessert, Jell-O"
1012,"Cheese, cottage, creamed, large or small curd"
14201010,"Cheese, cottage, creamed, large or small curd, regular (4% fat) cottage cheese"
14203010,"Cheese, cottage, dry curd, baker's, dutch, skim, Quark Nonfat Soft Spreadable Cheese, pot"
14204010,"Cheese, cottage, low fat, 1-2% fat"
1016,"Cheese, cottage, lowfat, 1% milkfat"
43352,"Cheese, cottage, lowfat, 1% milkfat, no sodium added"
1015,"Cheese, cottage, lowfat, 2% milkfat"
14207010,"Cheese, cottage, lowfat, lactose reduced, Lactaid"
14206010,"Cheese, cottage, lowfat, low sodium, no salt added"
14204020,"Cheese, cottage, lowfat, with fruit"
14200100,"Cheese, cottage, NFS"
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd"
14203020,"Cheese, cottage, salted, dry curd, Friendship Nonfat Cottage Cheese, nonfat cottage cheese, Light N Lively Free Nonfat Cottage Cheese"
14202010,"Cheese, cottage, with fruit, creamed or uncreamed, large or small curd, cottage cheese salad, NFS"
14202020,"Cheese, cottage, with vegetables"
1017,"Cheese, cream"
1186,"Cheese, cream, fat free"
43274,"Cheese, cream, low fat"
1019,"Cheese, feta"
